Sorting	Population	Sample_Size	SNPs	Time	Memory
S	Global_L124	2000	63451	2495.30	5934108672
I	Global_L124	2000	63451	2352.98	4260057088
C	Global_L124	2000	63451	4013.66	2881445888

S	Global_L124	1000	43038	658.92	4464193536
I	Global_L124	1000	43038	603.40	1527648256
C	Global_L124	1000	43038	931.83	1082212352

S	Global_L124	500	29442	211.18	1410052096
I	Global_L124	500	29442	197.10	440459264
C	Global_L124	500	29442	255.54	445358080

S	Global_L124	100	12581	24.69	212889600
I	Global_L124	100	12581	22.91	107950080
C	Global_L124	100	12581	23.45	108486656

S	Global_L2	940	20014	224.46	1174290432
I	Global_L2	940	20014	223.61	516063232
C	Global_L2	940	20014	311.15	528883712

S	Global_L2	470	12971	71.11	567205888
I	Global_L2	470	12971	68.08	218107904
C	Global_L2	470	12971	89.17	219754496

S	Global_L2	188	6703	15.23	178880512
I	Global_L2	188	6703	15.55	124108800
C	Global_L2	188	6703	18.14	107585536

S	Global_L2	94	4303	7.51	103976960
I	Global_L2	94	4303	7.29	139632640
C	Global_L2	94	4303	7.87	91774976

S	HCMC_L2	821	25547	311.83	2076545024
I	HCMC_L2	821	25547	290.44	580681728
C	HCMC_L2	821	25547	374.92	575111168

S	HCMC_L2	420	16824	89.15	611749888
I	HCMC_L2	420	16824	80.74	240283648
C	HCMC_L2	420	16824	94.00	243585024

S	HCMC_L2	164	9027	21.08	221700096
I	HCMC_L2	164	9027	19.18	111976448
C	HCMC_L2	164	9027	20.57	112975872

S	HCMC_L2	82	5561	8.40	137371648
I	HCMC_L2	82	5561	7.94	93855744
C	HCMC_L2	82	5561	8.19	91774976
