run	isolates	conserved	snps	Final ML OL	alpha	rate A <-> C	rate A <-> G	rate A <-> T	rate C <-> G	rate C <-> T	rate G <-> T	Transitions	Transversions	freq pi(A)	freq pi(C)	freq pi(G)	freq pi(T)
HCMC_L2_r10p_t03	82	0.95	5561	-37933.86503	2.757468	1.061819	3.293446	0.354868	0.536167	3.109705	1	2.952854	6.403151	0.152613	0.349461	0.339731	0.158195
Global_L2_r10p_t01	94	0.95	4303	-28450.65039	2.180991	1.020132	2.934772	0.28085	0.656698	2.997401	1	2.95768	5.932173	0.188367	0.318964	0.316759	0.175909
Global_L124_r100_t03	100	0.95	12911	-86913.70802	2.188475	1.032591	3.386331	0.36049	0.457301	3.224798	1	2.850382	6.611129	0.13662	0.353131	0.366661	0.143588
HCMC_L2_r20p_t03	164	0.95	9027	-69126.08262	2.008894	0.970995	3.14936	0.336549	0.482013	3.084075	1	2.789557	6.233435	0.150368	0.353423	0.345261	0.150948
Global_L2_r20p_t05	188	0.95	6703	-49741.00603	2.187311	1.068034	3.237058	0.350956	0.510328	3.131357	1	2.929318	6.368415	0.166896	0.33619	0.331205	0.16571
HCMC_L2_r50p_t04	410	0.99	16824	-143481.1893	2.282563	1.046044	3.388146	0.378888	0.52124	3.227575	1	2.946172	6.615721	0.147197	0.353778	0.349031	0.149994
Global_L2_r50p_t01	470	0.99	12971	-107286.4925	2.557008	0.99609	3.070221	0.330846	0.530921	3.04043	1	2.857857	6.110651	0.169732	0.335631	0.331654	0.162983
Global_L124_r500_t03	500	0.99	29442	-247165.227	3.160641	0.990117	3.290053	0.393518	0.423516	3.220931	1	2.807151	6.510984	0.134187	0.36444	0.367337	0.134035
HCMC_L2_all_t01	821	0.995	25547	-236292.2904	2.343214	1.02098	3.312197	0.383808	0.500526	3.225502	1	2.905314	6.537699	0.146221	0.354867	0.351866	0.147045
Global_L2_all_t02	940	0.995	20014	-176788.6351	4.383526	1.03709	3.064666	0.34049	0.522929	3.043083	1	2.900509	6.107749	0.166742	0.339795	0.331372	0.162091
Global_L124_r1000_t05	1000	0.995	43038	-388748.6446	4.329966	1.013879	3.366531	0.433992	0.426561	3.386574	1	2.874432	6.753105	0.134486	0.365698	0.367432	0.132383
Global_L124_r2000_t03	2000	0.995	63451	-618448.3345	4.534858	0.997783	3.361793	0.452506	0.419912	3.336095	1	2.870201	6.697888	0.133835	0.367226	0.366097	0.132842
