Gene_Tag	ME	Syn	PA	Amb	Sites	Codons
A2T74_09840	6	0	6	0	5	5
A2T74_10040	6	0	6	0	6	6
A2T74_09845	5	0	5	0	5	5
A2T74_00495	3	0	3	0	3	3
A2T74_09820	3	1	2	0	2	2
A2T74_09960	3	0	3	0	3	3
A2T74_00110	2	0	2	0	1	1
A2T74_01480	2	0	2	0	2	2
A2T74_02150	2	0	2	0	2	2
A2T74_02195	2	0	2	0	2	2
A2T74_02565	2	0	2	0	2	2
A2T74_02670	2	0	2	0	2	2
A2T74_03615	2	0	2	0	2	2
A2T74_03860	2	0	2	0	2	2
A2T74_03885	2	0	2	0	2	2
A2T74_04215	2	0	2	0	1	1
A2T74_05285	2	0	2	0	2	2
A2T74_05320	2	1	1	0	1	1
A2T74_05335	2	0	2	0	2	2
A2T74_06580	2	2	0	0	2	2
A2T74_06980	2	1	1	0	2	2
A2T74_07805	2	0	2	0	1	1
A2T74_08845	2	0	2	0	2	2
A2T74_09455	2	0	2	0	2	2
A2T74_09890	2	0	2	0	2	2
A2T74_10435	2	0	2	0	2	2
A2T74_10660	2	0	2	0	2	2
A2T74_11125	2	0	2	0	2	2
A2T74_11290	2	0	2	0	2	2
A2T74_11935	2	2	0	0	1	1
A2T74_13280	2	0	2	0	2	2
A2T74_14100	2	0	2	0	2	2
A2T74_15200	2	0	2	0	2	2
A2T74_15690	2	1	1	0	1	1
A2T74_16245	2	0	2	0	2	2
A2T74_16380	2	1	1	0	2	2
A2T74_00015	1	0	1	0	1	1
A2T74_00085	1	0	1	0	1	1
A2T74_00115	1	0	1	0	1	1
A2T74_00145	1	0	1	0	1	1
A2T74_00240	1	0	1	0	1	1
A2T74_00530	1	0	1	0	1	1
A2T74_00540	1	0	1	0	1	1
A2T74_00545	1	0	1	0	1	1
A2T74_00550	1	0	1	0	1	1
A2T74_00610	1	0	1	0	1	1
A2T74_00820	1	1	0	0	1	1
A2T74_00845	1	0	1	0	1	1
A2T74_00910	1	0	1	0	1	1
A2T74_00935	1	0	1	0	1	1
A2T74_00940	1	0	1	0	1	1
A2T74_00975	1	0	1	0	1	1
A2T74_00985	1	0	1	0	1	1
A2T74_01040	1	1	0	0	1	1
A2T74_01045	1	0	1	0	1	1
A2T74_01055	1	0	1	0	1	1
A2T74_01060	1	1	0	0	1	1
A2T74_01070	1	0	1	0	1	1
A2T74_01080	1	0	1	0	1	1
A2T74_01115	1	0	1	0	1	1
A2T74_01160	1	0	1	0	1	1
A2T74_01230	1	0	1	0	1	1
A2T74_01450	1	0	1	0	1	1
A2T74_01520	1	0	1	0	1	1
A2T74_01540	1	0	1	0	1	1
A2T74_01545	1	0	1	0	1	1
A2T74_01560	1	0	1	0	1	1
