Gene_Tag	ME	Syn	PA	Amb	Sites	Codons
BDAG_02798	1	1	0	0	1	1
BDAG_02803	1	0	1	0	1	1
BDAG_02820	1	0	1	0	1	1
BDAG_02864	1	0	1	0	1	1
BDAG_02870	2	0	2	0	2	2
BDAG_02877	1	1	0	0	1	1
BDAG_02958	1	0	1	0	1	1
BDAG_02971	1	0	1	0	1	1
BDAG_02988	1	1	0	0	1	1
BDAG_03003	4	0	4	0	3	3
BDAG_03013	1	1	0	0	1	1
BDAG_03017	1	1	0	0	1	1
BDAG_03022	1	0	1	0	1	1
BDAG_03023	1	0	1	0	1	1
BDAG_03043	2	0	2	0	1	1
BDAG_03076	1	0	1	0	1	1
BDAG_03090	1	1	0	0	1	1
BDAG_03095	2	0	2	0	1	1
BDAG_03103	1	1	0	0	1	1
BDAG_03117	1	0	1	0	1	1
BDAG_03119	1	0	1	0	1	1
BDAG_03123	1	0	1	0	1	1
BDAG_03125	1	0	1	0	1	1
BDAG_03134	1	1	0	0	1	1
BDAG_03166	1	0	1	0	1	1
BDAG_03205	1	0	1	0	1	1
BDAG_03211	1	1	0	0	1	1
BDAG_03220	2	0	2	0	2	2
BDAG_03221	1	1	0	0	1	1
BDAG_03222	1	0	1	0	1	1
BDAG_03246	1	0	1	0	1	1
BDAG_03247	1	0	1	0	1	1
BDAG_03259	1	0	1	0	1	1
BDAG_03263	1	0	1	0	1	1
BDAG_03274	1	0	1	0	1	1
BDAG_03280	1	0	1	0	1	1
BDAG_03330	1	0	1	0	1	1
BDAG_03356	1	0	1	0	1	1
BDAG_03386	1	0	1	0	1	1
BDAG_03390	1	1	0	0	1	1
BDAG_03461	2	0	2	0	2	2
BDAG_03463	1	0	1	0	1	1
BDAG_03475	1	0	1	0	1	1
BDAG_03496	2	0	2	0	2	2
BDAG_03507	1	0	1	0	1	1
BDAG_03513	1	0	1	0	1	1
BDAG_03577	1	1	0	0	1	1
BDAG_03584	1	1	0	0	1	1
BDAG_03589	1	1	0	0	1	1
BDAG_03595	1	1	0	0	1	1
BDAG_03620	1	0	1	0	1	1
BDAG_03647	2	0	2	0	2	2
BDAG_03670	1	0	1	0	1	1
BDAG_03671	1	1	0	0	1	1
BDAG_03694	8	0	8	0	3	3
BDAG_03729	1	1	0	0	1	1
BDAG_03731	1	0	1	0	1	1
BDAG_03743	1	0	1	0	1	1
BDAG_03770	1	1	0	0	1	1
BDAG_03789	1	0	1	0	1	1
BDAG_03796	1	1	0	0	1	1
BDAG_03810	1	1	0	0	1	1
BDAG_03811	1	1	0	0	1	1
BDAG_03829	1	1	0	0	1	1
BDAG_03832	1	0	1	0	1	1
BDAG_03868	1	0	1	0	1	1
BDAG_03871	1	0	1	0	1	1
BDAG_03882	1	0	1	0	1	1
BDAG_03905	1	1	0	0	1	1
BDAG_03958	1	0	1	0	1	1
BDAG_03968	2	0	2	0	2	2
BDAG_03969	1	1	0	0	1	1
BDAG_03971	1	1	0	0	1	1
BDAG_03988	1	1	0	0	1	1
BDAG_03993	1	0	1	0	1	1
BDAG_04007	1	0	1	0	1	1
BDAG_04018	1	1	0	0	1	1
BDAG_04090	1	1	0	0	1	1
BDAG_04135	1	0	1	0	1	1
BDAG_04136	1	0	1	0	1	1
BDAG_04141	1	0	1	0	1	1
BDAG_04144	1	0	1	0	1	1
BDAG_04152	1	0	1	0	1	1
BDAG_04154	4	2	2	0	4	4
BDAG_04180	3	0	3	0	1	1
BDAG_04231	1	0	1	0	1	1
BDAG_04266	1	1	0	0	1	1
BDAG_04332	1	1	0	0	1	1
BDAG_04344	1	1	0	0	1	1
BDAG_04351	1	0	1	0	1	1
BDAG_04367	1	1	0	0	1	1
BDAG_04371	1	0	1	0	1	1
BDAG_04379	1	0	1	0	1	1
BDAG_04433	1	0	1	0	1	1
BDAG_04449	1	0	1	0	1	1
BDAG_04452	1	0	1	0	1	1
