Gene_Tag	ME	Syn	PA	Amb	Sites	Codons
BDAG_01161	17	0	17	0	16	16
BDAG_02781	14	0	14	0	2	1
BDAG_02180	11	0	11	0	3	2
BDAG_02317	10	0	10	0	1	1
BDAG_02650	8	0	8	0	8	8
BDAG_03694	8	0	8	0	3	3
BDAG_02321	6	0	6	0	6	6
BDAG_04506	5	0	5	0	4	4
BDAG_01160	4	0	4	0	4	4
BDAG_03003	4	0	4	0	3	3
BDAG_04154	4	2	2	0	4	4
BDAG_00179	3	0	3	0	2	2
BDAG_00220	3	0	3	0	3	3
BDAG_00856	3	0	3	0	3	3
BDAG_00993	3	0	3	0	3	3
BDAG_01250	3	0	3	0	3	3
BDAG_04180	3	0	3	0	1	1
BDAG_00289	2	1	1	0	2	2
BDAG_00578	2	0	2	0	2	2
BDAG_01022	2	0	2	0	1	1
BDAG_01143	2	0	2	0	2	2
BDAG_01220	2	1	1	0	2	2
BDAG_01475	2	0	2	0	2	2
BDAG_01606	2	0	2	0	2	2
BDAG_01622	2	2	0	0	2	2
BDAG_01761	2	0	2	0	2	2
BDAG_01898	2	1	1	0	2	2
BDAG_02024	2	0	2	0	2	2
BDAG_02365	2	0	2	0	2	2
BDAG_02384	2	1	1	0	2	2
BDAG_02593	2	2	0	0	1	1
BDAG_02788	2	0	2	0	2	2
BDAG_02870	2	0	2	0	2	2
BDAG_03043	2	0	2	0	1	1
BDAG_03095	2	0	2	0	1	1
BDAG_03220	2	0	2	0	2	2
BDAG_03461	2	0	2	0	2	2
BDAG_03496	2	0	2	0	2	2
BDAG_03647	2	0	2	0	2	2
BDAG_03968	2	0	2	0	2	2
BDAG_04639	2	0	2	0	2	2
BDAG_04681	2	1	1	0	2	2
BDAG_04720	2	0	2	0	2	1
BDAG_00006	1	0	1	0	1	1
BDAG_00009	1	1	0	0	1	1
BDAG_00045	1	0	1	0	1	1
BDAG_00061	1	0	1	0	1	1
BDAG_00081	1	1	0	0	1	1
BDAG_00210	1	0	1	0	1	1
BDAG_00232	1	0	1	0	1	1
BDAG_00278	1	0	1	0	1	1
BDAG_00285	1	0	1	0	1	1
BDAG_00312	1	0	1	0	1	1
BDAG_00384	1	0	1	0	1	1
BDAG_00394	1	0	1	0	1	1
BDAG_00395	1	1	0	0	1	1
BDAG_00452	1	0	1	0	1	1
BDAG_00531	1	0	1	0	1	1
BDAG_00576	1	0	1	0	1	1
BDAG_00577	1	0	1	0	1	1
BDAG_00610	1	0	1	0	1	1
BDAG_00614	1	0	1	0	1	1
BDAG_00627	1	0	1	0	1	1
BDAG_00644	1	0	1	0	1	1
BDAG_00729	1	0	1	0	1	1
BDAG_00733	1	0	1	0	1	1
BDAG_00736	1	1	0	0	1	1
BDAG_00841	1	0	1	0	1	1
BDAG_00857	1	0	1	0	1	1
BDAG_00864	1	1	0	0	1	1
BDAG_00886	1	1	0	0	1	1
BDAG_00889	1	1	0	0	1	1
BDAG_00941	1	1	0	0	1	1
BDAG_00943	1	0	1	0	1	1
BDAG_00992	1	1	0	0	1	1
BDAG_00994	1	0	1	0	1	1
BDAG_01005	1	0	1	0	1	1
BDAG_01007	1	1	0	0	1	1
BDAG_01008	1	1	0	0	1	1
BDAG_01047	1	0	1	0	1	1
BDAG_01082	1	0	1	0	1	1
BDAG_01085	1	0	1	0	1	1
BDAG_01107	1	0	1	0	1	1
BDAG_01154	1	0	1	0	1	1
BDAG_01193	1	1	0	0	1	1
BDAG_01204	1	0	1	0	1	1
BDAG_01210	1	1	0	0	1	1
BDAG_01270	1	0	1	0	1	1
BDAG_01277	1	0	1	0	1	1
BDAG_01300	1	0	1	0	1	1
BDAG_01314	1	0	1	0	1	1
BDAG_01323	1	1	0	0	1	1
BDAG_01336	1	1	0	0	1	1
BDAG_01348	1	0	1	0	1	1
BDAG_01387	1	0	1	0	1	1
BDAG_01388	1	0	1	0	1	1
BDAG_01407	1	0	1	0	1	1
BDAG_01415	1	0	1	0	1	1
BDAG_01416	1	0	1	0	1	1
BDAG_01437	1	0	1	0	1	1
BDAG_01456	1	1	0	0	1	1
BDAG_01491	1	0	1	0	1	1
BDAG_01514	1	1	0	0	1	1
BDAG_01523	1	0	1	0	1	1
BDAG_01540	1	0	1	0	1	1
BDAG_01548	1	0	1	0	1	1
BDAG_01578	1	1	0	0	1	1
BDAG_01607	1	1	0	0	1	1
BDAG_01614	1	0	1	0	1	1
BDAG_01636	1	0	1	0	1	1
BDAG_01648	1	1	0	0	1	1
BDAG_01660	1	0	1	0	1	1
BDAG_01667	1	1	0	0	1	1
BDAG_01674	1	0	1	0	1	1
BDAG_01678	1	1	0	0	1	1
BDAG_01690	1	0	1	0	1	1
BDAG_01739	1	1	0	0	1	1
BDAG_01757	1	0	1	0	1	1
BDAG_01793	1	1	0	0	1	1
BDAG_01795	1	0	1	0	1	1
BDAG_01824	1	1	0	0	1	1
BDAG_01827	1	1	0	0	1	1
BDAG_01843	1	1	0	0	1	1
BDAG_01852	1	0	1	0	1	1
BDAG_01855	1	1	0	0	1	1
BDAG_01858	1	0	1	0	1	1
BDAG_01867	1	0	1	0	1	1
BDAG_01897	1	1	0	0	1	1
BDAG_01927	1	0	1	0	1	1
BDAG_01989	1	0	1	0	1	1
BDAG_02003	1	1	0	0	1	1
BDAG_02041	1	0	1	0	1	1
BDAG_02075	1	0	1	0	1	1
BDAG_02103	1	0	1	0	1	1
BDAG_02104	1	0	1	0	1	1
BDAG_02111	1	1	0	0	1	1
BDAG_02116	1	0	1	0	1	1
BDAG_02139	1	0	1	0	1	1
BDAG_02144	1	1	0	0	1	1
BDAG_02168	1	1	0	0	1	1
BDAG_02169	1	1	0	0	1	1
BDAG_02174	1	1	0	0	1	1
BDAG_02177	1	0	1	0	1	1
BDAG_02189	1	0	1	0	1	1
BDAG_02195	1	0	1	0	1	1
BDAG_02203	1	0	1	0	1	1
BDAG_02222	1	0	1	0	1	1
BDAG_02243	1	0	1	0	1	1
BDAG_02267	1	1	0	0	1	1
BDAG_02298	1	1	0	0	1	1
BDAG_02311	1	0	1	0	1	1
BDAG_02312	1	1	0	0	1	1
BDAG_02315	1	0	1	0	1	1
BDAG_02323	1	0	1	0	1	1
BDAG_02338	1	0	1	0	1	1
BDAG_02352	1	0	1	0	1	1
BDAG_02363	1	0	1	0	1	1
BDAG_02367	1	0	1	0	1	1
BDAG_02466	1	1	0	0	1	1
BDAG_02474	1	1	0	0	1	1
BDAG_02498	1	0	1	0	1	1
BDAG_02511	1	1	0	0	1	1
BDAG_02517	1	0	1	0	1	1
BDAG_02526	1	1	0	0	1	1
BDAG_02528	1	0	1	0	1	1
BDAG_02550	1	1	0	0	1	1
BDAG_02558	1	1	0	0	1	1
BDAG_02568	1	0	1	0	1	1
BDAG_02583	1	1	0	0	1	1
BDAG_02588	1	0	1	0	1	1
BDAG_02598	1	0	1	0	1	1
BDAG_02604	1	0	1	0	1	1
BDAG_02610	1	0	1	0	1	1
BDAG_02611	1	0	1	0	1	1
BDAG_02625	1	1	0	0	1	1
BDAG_02629	1	0	1	0	1	1
BDAG_02631	1	1	0	0	1	1
BDAG_02634	1	0	1	0	1	1
BDAG_02657	1	0	1	0	1	1
BDAG_02677	1	1	0	0	1	1
BDAG_02695	1	0	1	0	1	1
BDAG_02732	1	0	1	0	1	1
BDAG_02750	1	0	1	0	1	1
BDAG_02779	1	1	0	0	1	1
BDAG_02798	1	1	0	0	1	1
BDAG_02803	1	0	1	0	1	1
BDAG_02820	1	0	1	0	1	1
BDAG_02864	1	0	1	0	1	1
BDAG_02877	1	1	0	0	1	1
BDAG_02958	1	0	1	0	1	1
BDAG_02971	1	0	1	0	1	1
BDAG_02988	1	1	0	0	1	1
BDAG_03013	1	1	0	0	1	1
BDAG_03017	1	1	0	0	1	1
BDAG_03022	1	0	1	0	1	1
BDAG_03023	1	0	1	0	1	1
BDAG_03076	1	0	1	0	1	1
BDAG_03090	1	1	0	0	1	1
BDAG_03103	1	1	0	0	1	1
BDAG_03117	1	0	1	0	1	1
BDAG_03119	1	0	1	0	1	1
