Gene_Tag	ME	Syn	PA	Sites	Codons
Rv0001	49	9	40	42	41
Rv0002	21	7	14	21	21
Rv0003	22	9	13	21	19
Rv0004	14	4	10	13	12
Rv0005	51	28	23	50	47
Rv0006	85	29	56	73	71
Rv0007	41	15	26	40	35
Rv0008c	15	3	12	15	15
Rv0009	7	7	0	7	7
Rv0010c	32	5	27	28	26
Rv0011c	6	1	5	6	6
Rv0012	23	8	15	23	23
Rv0013	20	7	13	20	20
Rv0014c	46	25	21	45	41
Rv0015c	29	10	19	27	26
Rv0016c	28	12	16	28	27
Rv0017c	32	11	21	32	30
Rv0020c	36	12	24	36	34
Rv0021c	24	5	19	22	21
Rv0022c	12	2	10	11	11
Rv0023	15	8	7	15	15
Rv0024	17	8	9	17	17
Rv0025	11	3	8	11	10
Rv0026	41	8	33	40	39
Rv0027	8	1	7	8	8
Rv0028	7	4	3	7	7
Rv0029	30	12	18	30	26
Rv0030	16	6	10	16	14
Rv0032	58	14	44	55	55
Rv0033	9	3	6	8	8
Rv0034	11	7	4	10	10
Rv0035	48	15	33	47	46
Rv0036c	22	8	14	21	21
Rv0037c	30	14	16	30	30
Rv0038	7	4	3	7	7
Rv0039c	11	4	7	11	11
Rv0040c	21	8	13	21	20
Rv0041	71	29	42	70	68
Rv0042c	36	3	33	33	30
Rv0043c	10	3	7	10	9
Rv0044c	17	8	9	17	17
Rv0045c	27	6	21	26	23
Rv0046c	25	9	16	24	23
Rv0047c	14	3	11	14	14
Rv0048c	20	8	12	20	20
Rv0049	7	4	3	7	7
Rv0050	37	10	27	37	37
Rv0051	36	12	24	35	34
Rv0052	14	6	8	14	14
Rv0053	3	2	1	3	3
Rv0054	6	3	3	6	6
Rv0055	7	2	5	7	7
Rv0056	4	2	2	4	4
Rv0057	25	10	15	25	20
Rv0058	45	23	22	44	44
Rv0059	20	7	13	20	19
Rv0060	21	10	11	18	17
Rv0061c	12	5	7	12	12
Rv0062	27	7	20	27	27
Rv0063	45	20	25	44	44
Rv0063a	7	2	5	7	7
Rv0064	70	23	47	69	68
Rv0064A	3	1	2	3	3
Rv0065	9	4	5	9	9
Rv0066c	44	16	28	42	40
Rv0067c	14	6	8	13	13
Rv0068	20	4	16	20	20
Rv0069c	24	8	16	24	23
Rv0070c	33	13	20	33	32
Rv0074	23	13	10	23	21
Rv0075	26	8	18	26	26
Rv0076c	6	1	5	6	6
Rv0077c	7	5	2	6	6
Rv0078	6	2	4	6	6
Rv0078A	15	6	9	15	13
Rv0078B	2	0	2	2	2
Rv0079	9	3	6	9	9
Rv0080	24	2	22	21	21
Rv0081	12	8	4	11	11
Rv0082	13	5	8	12	12
Rv0083	36	10	26	36	36
Rv0084	12	7	5	12	12
Rv0085	17	6	11	17	16
Rv0086	38	22	16	35	34
Rv0087	32	16	16	31	31
Rv0088	11	2	9	11	11
Rv0089	15	4	11	15	15
Rv0090	14	3	11	14	14
Rv0091	11	2	9	11	11
Rv0092	45	17	28	44	44
Rv0093c	18	6	12	18	18
Rv0097	8	2	6	8	8
Rv0098	13	8	5	13	13
Rv0099	23	9	14	23	22
Rv0100	5	3	2	5	5
Rv0101	123	54	69	121	120
Rv0102	42	19	23	42	41
Rv0103c	41	11	30	40	40
Rv0104	43	8	35	41	41
Rv0105c	9	2	7	9	9
Rv0106	21	10	11	21	21
Rv0107c	84	33	51	83	82
Rv0108c	8	5	3	7	6
Rv0110	11	4	7	11	11
Rv0111	33	13	20	33	32
Rv0112	21	3	18	21	19
Rv0113	20	4	16	18	17
Rv0114	7	0	7	7	7
Rv0115	28	5	23	27	26
Rv0115a	6	3	3	6	6
Rv0116c	17	6	11	17	17
Rv0117	23	12	11	21	21
Rv0118c	36	12	24	36	34
Rv0119	28	12	16	27	26
Rv0120c	50	21	29	49	47
Rv0121c	10	3	7	10	10
Rv0122	4	0	4	4	4
Rv0123	7	4	3	7	7
Rv0125	18	10	8	18	17
Rv0127	22	10	12	22	21
Rv0128	11	4	7	11	11
Rv0129c	7	4	3	7	6
Rv0130	11	6	5	11	11
Rv0131c	22	5	17	22	21
Rv0132c	19	4	15	18	16
Rv0133	14	5	9	14	13
Rv0134	19	6	13	19	19
Rv0135c	6	4	2	6	6
Rv0136	43	14	29	43	42
Rv0137c	2	1	1	2	2
Rv0138	1	0	1	1	1
Rv0139	19	6	13	19	18
Rv0140	9	2	7	9	9
Rv0141c	4	2	2	4	4
Rv0142	23	6	17	22	21
Rv0143c	43	13	30	43	42
Rv0144	16	5	11	16	16
Rv0145	22	4	18	21	19
Rv0146	23	10	13	23	23
Rv0147	30	13	17	30	30
Rv0148	13	6	7	13	13
Rv0149	16	6	10	15	15
Rv0150c	3	1	2	3	3
Rv0153c	16	6	10	16	16
Rv0154c	17	8	9	16	16
Rv0155	12	5	7	12	12
Rv0156	2	1	1	2	2
Rv0157	26	11	15	26	25
Rv0157A	3	1	2	3	3
Rv0158	16	8	8	16	16
Rv0161	25	14	11	25	25
Rv0162c	22	9	13	22	22
Rv0163	9	4	5	8	8
Rv0164	7	2	5	7	7
Rv0165c	18	6	12	18	17
Rv0166	36	14	22	36	36
Rv0167	16	7	9	16	16
Rv0168	15	5	10	15	14
Rv0169	31	12	19	29	28
Rv0170	10	3	7	9	9
Rv0171	27	9	18	27	27
Rv0172	34	10	24	34	34
Rv0173	15	6	9	15	15
Rv0174	23	5	18	23	23
Rv0176	20	6	14	19	19
Rv0177	12	6	6	12	12
Rv0178	12	3	9	12	12
Rv0179c	23	12	11	22	22
Rv0180c	29	11	18	29	28
Rv0181c	13	4	9	13	13
Rv0182c	27	7	20	25	24
Rv0183	14	2	12	14	14
Rv0184	10	4	6	10	10
Rv0185	7	4	3	7	7
Rv0186	44	14	30	44	43
Rv0186A	3	1	2	2	2
Rv0187	17	3	14	17	17
Rv0188	12	5	7	11	10
Rv0189c	20	11	9	20	20
Rv0190	5	4	1	5	4
Rv0191	24	12	12	19	19
Rv0192	23	6	17	22	21
Rv0193c	35	8	27	35	35
Rv0194	58	13	45	58	57
Rv0196	7	1	6	7	7
Rv0197	57	20	37	56	54
Rv0198c	30	9	21	30	30
Rv0199	11	3	8	11	10
Rv0200	7	5	2	7	7
Rv0201c	4	1	3	4	4
Rv0202c	45	20	25	43	42
Rv0203	8	3	5	8	8
Rv0204c	14	8	6	14	14
Rv0205	21	10	11	20	19
Rv0206c	33	12	21	32	32
Rv0207c	11	6	5	11	11
Rv0208c	10	4	6	10	10
Rv0209	16	6	10	16	16
Rv0210	24	5	19	24	24
Rv0211	31	14	17	29	28
Rv0212c	17	5	12	17	16
Rv0213c	28	8	20	27	27
Rv0214	31	7	24	31	30
Rv0216	17	11	6	17	17
Rv0217c	23	5	18	23	23
Rv0218	22	7	15	21	20
Rv0219	13	4	9	13	12
Rv0220	15	6	9	14	14
Rv0221	28	6	22	28	27
Rv0222	15	6	9	15	14
Rv0223c	22	9	13	21	21
Rv0224c	10	6	4	10	10
Rv0225	18	10	8	18	17
Rv0226c	29	7	22	28	26
Rv0227c	20	11	9	20	20
Rv0228	20	6	14	20	19
Rv0229c	15	3	12	15	14
Rv0230c	21	5	16	20	20
Rv0231	31	11	20	31	30
Rv0232	10	7	3	9	9
Rv0233	9	5	4	9	8
Rv0234c	30	5	25	30	30
Rv0235c	32	14	18	31	31
Rv0236c	68	24	44	65	64
Rv0236A	1	0	1	1	1
Rv0237	23	12	11	23	23
Rv0238	9	6	3	8	8
Rv0239	6	2	4	6	6
Rv0240	8	0	8	8	8
Rv0241c	25	10	15	24	24
Rv0242c	21	7	14	21	21
Rv0243	24	6	18	24	24
Rv0244c	48	16	32	48	47
Rv0245	8	2	6	8	8
Rv0246	31	12	19	29	28
Rv0247c	9	3	6	9	9
Rv0248c	18	7	11	18	18
Rv0249c	6	4	2	6	6
Rv0250c	8	2	6	6	6
Rv0251c	9	3	6	9	9
Rv0252	60	26	34	56	55
Rv0253	5	1	4	5	5
Rv0254c	7	3	4	7	7
Rv0255c	26	10	16	25	25
Rv0257	13	6	7	13	11
Rv0258c	12	3	9	12	11
Rv0259c	16	10	6	16	16
Rv0260c	22	7	15	21	20
Rv0261c	26	12	14	26	26
Rv0262c	5	0	5	5	4
Rv0263c	11	3	8	11	11
Rv0264c	11	3	8	11	11
Rv0265c	15	4	11	14	14
Rv0266c	52	21	31	50	50
Rv0267	23	8	15	22	21
Rv0268c	8	1	7	8	8
Rv0269c	20	7	13	19	19
Rv0270	30	12	18	28	27
Rv0271c	25	10	15	25	25
Rv0272c	23	8	15	22	22
Rv0273c	11	2	9	11	11
Rv0274	11	3	8	11	11
Rv0275c	23	8	15	23	22
Rv0276	15	6	9	15	15
Rv0277c	69	39	30	19	18
Rv0281	13	5	8	13	13
Rv0282	26	15	11	26	25
Rv0283	20	6	14	19	19
Rv0287	4	2	2	4	4
Rv0288	9	1	8	9	8
Rv0289	17	6	11	17	16
Rv0290	21	8	13	21	21
Rv0291	25	10	15	25	25
Rv0292	23	11	12	23	22
Rv0293c	11	3	8	11	11
Rv0294	17	6	11	16	16
Rv0295c	9	3	6	9	9
Rv0296c	19	9	10	18	16
Rv0298	3	1	2	3	3
Rv0299	5	1	4	5	5
Rv0300	3	2	1	3	3
Rv0301	11	4	7	11	11
Rv0302	15	6	9	15	15
Rv0303	15	5	10	15	15
Rv0306	5	3	2	5	5
Rv0307c	7	3	4	7	7
Rv0308	19	11	8	16	15
Rv0309	13	6	7	13	12
Rv0310c	10	3	7	10	10
Rv0311	28	5	23	28	27
Rv0312	30	11	19	30	29
Rv0313	9	6	3	9	9
Rv0314c	17	5	12	17	16
Rv0315	15	5	10	15	15
Rv0316	9	4	5	9	9
Rv0317c	13	4	9	13	11
Rv0318c	9	3	6	9	9
Rv0319	12	4	8	12	12
Rv0320	16	7	9	16	16
Rv0321	7	3	4	7	7
Rv0322	24	7	17	24	24
Rv0323c	20	8	12	17	16
Rv0324	8	1	7	8	8
Rv0325	2	0	2	2	2
Rv0326	7	2	5	7	7
Rv0327c	25	6	19	25	25
Rv0328	8	2	6	8	8
Rv0329c	16	7	9	16	16
Rv0330c	15	3	12	14	13
Rv0331	31	10	21	31	30
Rv0332	17	4	13	17	17
Rv0333	7	2	5	7	6
Rv0334	11	5	6	10	10
Rv0336	22	1	21	3	3
Rv0337c	13	9	4	13	13
Rv0338c	40	15	25	39	37
Rv0339c	46	13	33	46	45
Rv0340	9	3	6	9	9
Rv0341	20	7	13	20	20
Rv0342	31	12	19	31	29
Rv0343	20	7	13	20	20
Rv0344c	10	6	4	10	10
Rv0345	15	5	10	15	13
Rv0346c	18	8	10	18	18
Rv0347	7	2	5	7	7
Rv0348	12	3	9	11	10
Rv0349	5	1	4	5	5
Rv0350	17	11	6	17	17
Rv0351	9	3	6	9	9
Rv0352	15	6	9	15	15
Rv0353	5	1	4	5	5
Rv0356c	17	3	14	17	17
Rv0357c	19	10	9	19	19
Rv0358	9	5	4	9	9
Rv0359	15	10	5	15	15
Rv0360c	12	3	9	11	11
Rv0361	8	3	5	8	8
Rv0362	21	10	11	21	21
Rv0363c	17	9	8	17	17
Rv0364	9	7	2	9	9
Rv0365c	17	7	10	17	17
Rv0366c	9	3	6	9	9
Rv0367c	3	1	2	3	3
Rv0368c	27	7	20	26	24
Rv0369c	7	2	5	7	7
Rv0370c	26	10	16	25	23
Rv0371c	13	2	11	13	13
Rv0372c	12	3	9	12	12
Rv0373c	47	18	29	47	47
Rv0374c	9	3	6	9	9
Rv0375c	10	5	5	10	10
Rv0376c	4	3	1	4	4
Rv0379	6	5	1	6	6
Rv0380c	10	2	8	10	10
Rv0381c	14	7	7	13	13
Rv0382c	6	2	4	6	6
Rv0383c	7	3	4	7	6
Rv0384c	25	14	11	25	25
Rv0385	10	3	7	10	10
Rv0386	47	11	36	46	45
Rv0389	23	4	19	22	20
Rv0390	4	3	1	4	4
Rv0391	12	6	6	12	12
Rv0392c	29	5	24	28	26
Rv0393	39	14	25	23	22
Rv0397	24	11	13	12	11
Rv0397A	7	1	6	7	7
Rv0398c	13	3	10	13	13
Rv0399c	20	6	14	20	20
Rv0400c	21	5	16	20	20
Rv0401	9	1	8	9	9
Rv0402c	56	13	43	56	55
Rv0403c	10	5	5	10	10
Rv0404	48	14	34	47	45
Rv0405	104	31	73	102	102
Rv0406c	11	5	6	11	11
Rv0407	14	7	7	13	13
Rv0408	32	15	17	32	31
Rv0409	20	9	11	19	19
Rv0410c	41	12	29	39	39
Rv0411c	16	8	8	16	15
Rv0412c	19	5	14	19	19
Rv0413	11	2	9	11	11
Rv0414c	12	6	6	12	12
Rv0415	12	4	8	12	12
Rv0416	5	1	4	5	5
Rv0417	8	2	6	8	8
Rv0418	22	8	14	21	21
Rv0419	31	13	18	28	28
Rv0420c	13	7	6	10	10
Rv0421c	7	2	5	7	7
Rv0422c	13	4	9	13	13
Rv0423c	16	13	3	16	16
Rv0424c	8	4	4	8	8
Rv0425c	58	28	30	58	58
Rv0426c	9	3	6	9	7
Rv0427c	12	4	8	12	12
