gene_tag	length	hits	percent
Rv0001	1524	0	0.0
Rv0002	1209	0	0.0
Rv0003	1158	0	0.0
Rv0004	564	0	0.0
Rv0005	2028	0	0.0
Rv0006	2517	0	0.0
Rv0007	915	0	0.0
Rv0008c	438	0	0.0
Rv0009	549	0	0.0
Rv0010c	426	0	0.0
Rv0011c	282	0	0.0
Rv0012	789	0	0.0
Rv0013	699	0	0.0
Rv0014c	1881	0	0.0
Rv0015c	1296	0	0.0
Rv0016c	1476	0	0.0
Rv0017c	1410	0	0.0
Rv0018c	1545	9	0.5825242718446602
Rv0019c	468	4	0.8547008547008548
Rv0020c	1584	0	0.0
Rv0021c	969	0	0.0
Rv0022c	420	0	0.0
Rv0023	771	0	0.0
Rv0024	846	0	0.0
Rv0025	363	0	0.0
Rv0026	1347	0	0.0
Rv0027	318	0	0.0
Rv0028	306	0	0.0
Rv0029	1098	0	0.0
Rv0030	330	0	0.0
Rv0032	2316	0	0.0
Rv0033	264	0	0.0
Rv0034	396	0	0.0
Rv0035	1689	0	0.0
Rv0036c	774	0	0.0
Rv0037c	1326	0	0.0
Rv0038	609	0	0.0
Rv0039c	348	0	0.0
Rv0040c	933	0	0.0
Rv0041	2910	0	0.0
Rv0042c	627	0	0.0
Rv0043c	735	0	0.0
Rv0044c	795	0	0.0
Rv0045c	897	0	0.0
Rv0046c	1104	0	0.0
Rv0047c	543	0	0.0
Rv0048c	870	0	0.0
Rv0049	414	0	0.0
Rv0050	2037	0	0.0
Rv0051	1683	0	0.0
Rv0052	564	0	0.0
Rv0053	291	0	0.0
Rv0054	495	0	0.0
Rv0055	255	0	0.0
Rv0056	459	0	0.0
Rv0057	522	0	0.0
Rv0058	2625	0	0.0
Rv0059	693	0	0.0
Rv0060	1059	0	0.0
Rv0061c	339	0	0.0
Rv0062	1143	0	0.0
Rv0063	1440	0	0.0
Rv0063a	162	0	0.0
Rv0064	2940	0	0.0
Rv0064A	240	0	0.0
Rv0065	402	0	0.0
Rv0066c	2238	0	0.0
Rv0067c	570	0	0.0
Rv0068	912	0	0.0
Rv0069c	1386	0	0.0
Rv0070c	1278	0	0.0
Rv0071	708	45	6.3559322033898304
Rv0072	1050	0	0.0
Rv0073	993	0	0.0
Rv0074	1236	0	0.0
Rv0075	1173	0	0.0
Rv0076c	390	0	0.0
Rv0077c	831	0	0.0
Rv0078	606	0	0.0
Rv0078A	594	0	0.0
Rv0078B	207	0	0.0
Rv0079	822	0	0.0
Rv0080	459	0	0.0
Rv0081	345	0	0.0
Rv0082	480	0	0.0
Rv0083	1923	0	0.0
Rv0084	951	0	0.0
Rv0085	663	0	0.0
Rv0086	1467	0	0.0
Rv0087	1479	0	0.0
Rv0088	675	0	0.0
Rv0089	594	0	0.0
Rv0090	771	0	0.0
Rv0091	768	0	0.0
Rv0092	2286	0	0.0
Rv0093c	849	0	0.0
Rv0094c	954	951	99.68553459119497
Rv0095c	411	411	100.0
Rv0096	1392	1392	100.0
Rv0097	870	0	0.0
Rv0098	552	0	0.0
Rv0099	1623	0	0.0
Rv0100	237	0	0.0
Rv0101	7539	0	0.0
Rv0102	1986	0	0.0
Rv0103c	2259	0	0.0
Rv0104	1515	0	0.0
Rv0105c	285	0	0.0
Rv0106	1197	0	0.0
Rv0107c	4899	0	0.0
Rv0108c	210	0	0.0
Rv0109	1491	1491	100.0
Rv0110	750	0	0.0
Rv0111	2058	0	0.0
Rv0112	957	0	0.0
Rv0113	591	0	0.0
Rv0114	573	0	0.0
Rv0115	1161	0	0.0
Rv0115a	189	0	0.0
Rv0116c	756	0	0.0
Rv0117	945	0	0.0
Rv0118c	1749	0	0.0
Rv0119	1578	0	0.0
Rv0120c	2145	0	0.0
Rv0121c	435	0	0.0
Rv0122	369	0	0.0
Rv0123	369	0	0.0
Rv0124	1464	1464	100.0
Rv0125	1068	0	0.0
Rv0126	1806	57	3.1561461794019934
Rv0127	1368	0	0.0
Rv0128	780	0	0.0
Rv0129c	1023	0	0.0
Rv0130	456	0	0.0
Rv0131c	1344	0	0.0
Rv0132c	1083	0	0.0
Rv0133	606	0	0.0
Rv0134	903	0	0.0
Rv0135c	606	0	0.0
Rv0136	1326	0	0.0
Rv0137c	549	0	0.0
Rv0138	504	0	0.0
Rv0139	1023	0	0.0
Rv0140	381	0	0.0
Rv0141c	411	0	0.0
Rv0142	927	0	0.0
Rv0143c	1479	0	0.0
Rv0144	843	0	0.0
Rv0145	954	0	0.0
Rv0146	933	0	0.0
Rv0147	1521	0	0.0
Rv0148	861	0	0.0
Rv0149	969	0	0.0
Rv0150c	288	0	0.0
Rv0151c	1767	1767	100.0
Rv0152c	1578	1578	100.0
Rv0153c	831	0	0.0
Rv0154c	1212	0	0.0
Rv0155	1101	0	0.0
Rv0156	333	0	0.0
Rv0157	1428	0	0.0
Rv0157A	129	0	0.0
Rv0158	645	0	0.0
Rv0159c	1407	1407	100.0
Rv0160c	1509	1509	100.0
Rv0161	1350	0	0.0
Rv0162c	1152	0	0.0
Rv0163	456	0	0.0
Rv0164	486	0	0.0
Rv0165c	672	0	0.0
Rv0166	1665	0	0.0
Rv0167	798	0	0.0
Rv0168	870	0	0.0
Rv0169	1365	0	0.0
Rv0170	1041	0	0.0
Rv0171	1548	0	0.0
Rv0172	1593	0	0.0
Rv0173	1173	0	0.0
Rv0174	1548	0	0.0
Rv0175	642	76	11.838006230529595
Rv0176	969	0	0.0
Rv0177	555	0	0.0
Rv0178	735	0	0.0
Rv0179c	1110	0	0.0
Rv0180c	1359	0	0.0
Rv0181c	735	0	0.0
Rv0182c	1113	0	0.0
Rv0183	840	0	0.0
Rv0184	750	0	0.0
Rv0185	510	0	0.0
Rv0186	2076	0	0.0
Rv0186A	162	0	0.0
Rv0187	663	0	0.0
Rv0188	432	0	0.0
Rv0189c	1728	0	0.0
Rv0190	291	0	0.0
Rv0191	1242	0	0.0
Rv0192	1101	0	0.0
Rv0193c	1848	0	0.0
Rv0194	3585	0	0.0
Rv0195	636	0	0.0
Rv0196	585	0	0.0
Rv0197	2289	0	0.0
Rv0198c	1992	0	0.0
Rv0199	660	0	0.0
Rv0200	690	0	0.0
Rv0201c	504	0	0.0
Rv0202c	2901	0	0.0
Rv0203	411	0	0.0
Rv0204c	1239	0	0.0
Rv0205	1104	0	0.0
Rv0206c	2835	0	0.0
Rv0207c	729	0	0.0
Rv0208c	792	0	0.0
Rv0209	1086	0	0.0
Rv0210	1479	0	0.0
Rv0211	1821	0	0.0
Rv0212c	972	0	0.0
Rv0213c	1314	0	0.0
Rv0214	1614	0	0.0
Rv0216	1014	0	0.0
Rv0217c	909	0	0.0
Rv0218	1329	0	0.0
Rv0219	549	0	0.0
Rv0220	1212	0	0.0
Rv0221	1410	0	0.0
Rv0222	789	0	0.0
Rv0223c	1464	0	0.0
Rv0224c	765	0	0.0
Rv0225	1155	0	0.0
Rv0226c	1731	0	0.0
Rv0227c	1266	0	0.0
Rv0228	1224	0	0.0
Rv0229c	414	0	0.0
Rv0230c	981	0	0.0
Rv0231	1707	0	0.0
Rv0232	690	0	0.0
Rv0233	945	0	0.0
Rv0234c	1536	0	0.0
Rv0235c	1449	0	0.0
Rv0236c	4203	0	0.0
Rv0236A	174	0	0.0
Rv0237	1167	0	0.0
Rv0238	615	0	0.0
Rv0239	234	0	0.0
Rv0240	438	0	0.0
Rv0241c	843	0	0.0
Rv0242c	1365	0	0.0
Rv0243	1323	0	0.0
Rv0244c	1836	0	0.0
Rv0245	489	0	0.0
Rv0246	1311	0	0.0
Rv0247c	747	0	0.0
Rv0248c	1941	0	0.0
Rv0249c	822	0	0.0
Rv0250c	294	0	0.0
Rv0251c	480	0	0.0
Rv0252	2562	0	0.0
Rv0253	357	0	0.0
Rv0254c	525	0	0.0
Rv0255c	1485	0	0.0
Rv0256c	1671	1671	100.0
Rv0257	375	0	0.0
Rv0258c	456	0	0.0
Rv0259c	744	0	0.0
Rv0260c	1146	0	0.0
Rv0261c	1410	0	0.0
Rv0262c	546	0	0.0
Rv0263c	903	0	0.0
Rv0264c	633	0	0.0
Rv0265c	993	0	0.0
Rv0266c	3630	0	0.0
Rv0267	1392	0	0.0
Rv0268c	510	0	0.0
Rv0269c	1194	0	0.0
Rv0270	1683	0	0.0
Rv0271c	2196	0	0.0
Rv0272c	1134	0	0.0
Rv0273c	621	0	0.0
Rv0274	582	0	0.0
Rv0275c	726	0	0.0
Rv0276	921	0	0.0
Rv0277c	429	0	0.0
Rv0278c	2874	2874	100.0
Rv0279c	2514	2514	100.0
Rv0280	1611	1611	100.0
Rv0281	909	0	0.0
Rv0282	1896	0	0.0
Rv0283	1617	0	0.0
Rv0284	3993	4	0.10017530678687703
Rv0285	309	309	100.0
Rv0286	1542	1542	100.0
Rv0287	294	0	0.0
Rv0288	291	0	0.0
Rv0289	888	0	0.0
Rv0290	1419	0	0.0
Rv0291	1386	0	0.0
Rv0292	996	0	0.0
Rv0293c	1203	0	0.0
Rv0294	786	0	0.0
Rv0295c	804	0	0.0
Rv0296c	1398	0	0.0
Rv0297	1776	1776	100.0
Rv0298	228	0	0.0
Rv0299	303	0	0.0
Rv0300	222	0	0.0
Rv0301	426	0	0.0
Rv0302	633	0	0.0
Rv0303	909	0	0.0
Rv0304c	6615	6615	100.0
Rv0305c	2892	2892	100.0
Rv0306	672	0	0.0
Rv0307c	483	0	0.0
Rv0308	717	0	0.0
Rv0309	657	0	0.0
Rv0310c	492	0	0.0
Rv0311	1230	0	0.0
Rv0312	1863	0	0.0
Rv0313	387	0	0.0
Rv0314c	663	0	0.0
Rv0315	885	0	0.0
Rv0316	615	0	0.0
Rv0317c	771	0	0.0
Rv0318c	795	0	0.0
Rv0319	669	0	0.0
Rv0320	663	0	0.0
Rv0321	573	0	0.0
Rv0322	1332	0	0.0
Rv0323c	672	0	0.0
Rv0324	681	0	0.0
Rv0325	225	0	0.0
Rv0326	456	0	0.0
Rv0327c	1350	0	0.0
Rv0328	603	0	0.0
Rv0329c	627	0	0.0
Rv0330c	741	0	0.0
Rv0331	1167	0	0.0
Rv0332	786	0	0.0
Rv0333	375	0	0.0
Rv0334	867	0	0.0
Rv0335c	516	516	100.0
Rv0336	1512	0	0.0
Rv0337c	1290	0	0.0
Rv0338c	2649	0	0.0
Rv0339c	2499	0	0.0
Rv0340	540	0	0.0
Rv0341	1440	0	0.0
Rv0342	1923	0	0.0
Rv0343	1482	0	0.0
Rv0344c	561	0	0.0
Rv0345	411	0	0.0
Rv0346c	1464	0	0.0
Rv0347	987	0	0.0
Rv0348	654	0	0.0
Rv0349	660	0	0.0
Rv0350	1878	0	0.0
Rv0351	708	0	0.0
Rv0352	1188	0	0.0
Rv0353	381	0	0.0
Rv0354c	426	426	100.0
Rv0355c	9903	9903	100.0
Rv0356c	645	0	0.0
Rv0357c	1299	0	0.0
Rv0358	648	0	0.0
Rv0359	780	0	0.0
Rv0360c	438	0	0.0
Rv0361	828	0	0.0
Rv0362	1383	0	0.0
Rv0363c	1035	0	0.0
Rv0364	684	0	0.0
Rv0365c	1131	0	0.0
Rv0366c	594	0	0.0
Rv0367c	390	0	0.0
Rv0368c	1212	0	0.0
Rv0369c	516	0	0.0
Rv0370c	897	0	0.0
Rv0371c	594	0	0.0
Rv0372c	756	0	0.0
Rv0373c	2400	0	0.0
Rv0374c	480	0	0.0
Rv0375c	861	0	0.0
Rv0376c	1143	0	0.0
Rv0377	966	0	0.0
Rv0378	222	0	0.0
Rv0379	216	0	0.0
Rv0380c	552	0	0.0
Rv0381c	909	0	0.0
Rv0382c	540	0	0.0
Rv0383c	855	0	0.0
Rv0384c	2547	0	0.0
Rv0385	1173	0	0.0
Rv0386	3258	0	0.0
Rv0389	1260	0	0.0
Rv0390	423	0	0.0
Rv0391	1221	0	0.0
Rv0392c	1413	0	0.0
