Gene_Tag	ME	Syn	PA	Sites	Codons
Rv0001	11	0	11	5	5
Rv0003	2	2	0	1	1
Rv0005	2	0	2	1	1
Rv0006	16	0	16	4	4
Rv0010c	3	0	3	1	1
Rv0014c	2	2	0	1	1
Rv0015c	2	0	2	1	1
Rv0026	2	0	2	1	1
Rv0032	2	0	2	1	1
Rv0033	2	0	2	1	1
Rv0041	2	2	0	1	1
Rv0042c	2	0	2	1	1
Rv0045c	2	0	2	1	1
Rv0046c	2	0	2	1	1
Rv0060	3	3	0	1	1
Rv0064	2	2	0	1	1
Rv0067c	2	2	0	1	1
Rv0080	4	0	4	1	1
Rv0082	2	0	2	1	1
Rv0086	2	2	0	1	1
Rv0101	4	2	2	2	2
Rv0103c	2	0	2	1	1
Rv0104	2	0	2	1	1
Rv0108c	2	2	0	1	1
Rv0113	2	0	2	1	1
Rv0115	2	0	2	1	1
Rv0117	3	3	0	1	1
Rv0119	2	0	2	1	1
Rv0132c	2	0	2	1	1
Rv0142	2	0	2	1	1
Rv0149	2	2	0	1	1
Rv0154c	2	2	0	1	1
Rv0169	2	0	2	1	1
Rv0176	2	0	2	1	1
Rv0179c	2	2	0	1	1
Rv0182c	3	3	0	1	1
Rv0186A	2	0	2	1	1
Rv0191	6	6	0	1	1
Rv0197	2	0	2	1	1
Rv0206c	2	2	0	1	1
Rv0211	2	2	0	1	1
Rv0213c	2	2	0	1	1
Rv0223c	2	0	2	1	1
Rv0226c	2	0	2	1	1
Rv0232	2	2	0	1	1
Rv0236c	4	2	2	2	2
Rv0238	2	2	0	1	1
Rv0241c	2	0	2	1	1
Rv0246	2	2	0	1	1
Rv0250c	2	0	2	1	1
Rv0252	5	5	0	2	2
Rv0265c	2	2	0	1	1
Rv0266c	4	4	0	2	2
Rv0267	2	0	2	1	1
Rv0269c	2	0	2	1	1
Rv0272c	2	0	2	1	1
Rv0277c	63	37	26	13	13
Rv0283	2	0	2	1	1
Rv0294	2	2	0	1	1
Rv0296c	2	0	2	1	1
Rv0308	4	4	0	1	1
Rv0323c	4	0	4	1	1
Rv0334	2	0	2	1	1
Rv0336	21	0	21	2	2
Rv0360c	2	0	2	1	1
Rv0381c	2	2	0	1	1
Rv0386	2	0	2	1	1
Rv0389	2	0	2	1	1
Rv0392c	2	0	2	1	1
Rv0393	22	8	14	6	5
Rv0397	18	8	10	6	6
Rv0400c	2	0	2	1	1
Rv0407	2	2	0	1	1
Rv0418	2	0	2	1	1
Rv0419	4	4	0	1	1
Rv0420c	4	4	0	1	1
